Understanding_Bait_Lamina_Method,Ease_of_Navigation_&_Use,Clarity_of_Calculation,Usefulness_Scatter_Plot,Report_Generation_Useful,Overall_Satisfaction,Web-App_Vs_Excel,Gender,Education_Level
1,3,Clear,2,yes,2,Strongly agree,Female,School
2,2,Quite clear,3,yes,1,Strongly agree,Male,School
3,2,Quite clear,1,yes,3,Neither agree nor disagree,Male,School
3,3,Confusing,4,no,3,Somewhat agree,Male,School
1,1,Quite clear,1,yes,1,Strongly agree,Female,School
1,1,Clear,1,yes,1,Strongly agree,Male,School
2,2,Clear,2,yes,2,Strongly agree,Male,School
1,2,Clear,1,yes,1,Strongly agree,Female,School
2,2,Clear,2,yes,2,Somewhat agree,Female,School
1,1,Quite clear,2,yes,1,Strongly agree,Female,School
2,1,Clear,3,yes,1,Strongly agree,Female,School
1,1,Clear,2,yes,2,Strongly agree,Female,School
1,1,Quite clear,3,yes,1,Neither agree nor disagree,Male,School
2,2,Clear,3,yes,3,Somewhat agree,Male,School
1,1,Quite clear,1,yes,1,Strongly agree,Female,School
1,1,Clear,2,yes,2,Somewhat agree,Male,School
2,2,Quite clear,1,yes,2,Somewhat agree,Female,School
1,1,Quite clear,1,yes,1,Strongly agree,Female,School
1,1,Clear,2,yes,1,Somewhat agree,Male,School
1,1,Quite clear,1,yes,1,Strongly agree,Female,School
2,1,Quite clear,2,yes,1,Strongly agree,Female,School
1,1,Quite clear,1,yes,1,Strongly agree,Female,School
2,1,Quite clear,2,yes,2,Strongly agree,Female,School
1,1,Quite clear,1,yes,1,Strongly agree,Female,School
2,1,Quite clear,2,yes,1,Strongly agree,Female,School
2,2,Quite clear,1,yes,1,Somewhat agree,Female,School
1,2,Clear,2,yes,1,Somewhat agree,Female,School
1,1,Clear,2,yes,2,Strongly agree,Male,School
1,2,Quite clear,1,yes,1,Strongly agree,Male,School
2,1,Clear,1,yes,2,Somewhat agree,Female,School
2,1,Clear,2,yes,2,Strongly agree,Male,School
2,1,Clear,1,yes,2,Strongly agree,Female,School
2,2,Neutral,3,no,2,Neither agree nor disagree,Male,School
1,1,Quite clear,2,yes,1,Strongly agree,Female,School
1,1,Quite clear,1,yes,1,Strongly agree,Female,School
4,4,Clear,4,yes,3,Neither agree nor disagree,Male,School
1,1,Quite clear,1,yes,1,Strongly agree,Female,School
2,1,Clear,2,yes,2,Strongly agree,Female,School
2,2,Quite clear,1,yes,1,Neither agree nor disagree,Female,School
1,2,Clear,2,yes,2,Strongly agree,Male,School
2,2,Neutral,2,yes,2,Neither agree nor disagree,Male,School
1,1,Quite clear,1,yes,2,Strongly agree,Female,School
1,2,Clear,2,yes,1,Strongly agree,Male,School
2,3,Confusing,3,no,3,Neither agree nor disagree,Male,School
1,2,Clear,2,yes,2,Somewhat agree,Female,School
1,1,Quite clear,1,yes,1,Strongly agree,Female,School
3,2,Neutral,2,yes,2,Neither agree nor disagree,Male,School
1,1,Quite clear,1,yes,1,Strongly agree,Female,University
1,1,Clear,1,yes,1,Strongly agree,Male,University
1,1,Clear,1,yes,1,Somewhat agree,Male,University
1,1,Clear,1,yes,1,Strongly agree,Female,University
1,1,Clear,1,yes,1,Somewhat agree,Male,University
1,2,Clear,2,yes,1,Strongly agree,Female,University
1,1,Clear,1,yes,1,Strongly agree,Male,University
1,1,Quite clear,1,yes,1,Strongly agree,Female,University
1,3,Neutral,1,yes,2,Somewhat agree,Male,University
1,2,Quite clear,1,yes,2,Strongly agree,Male,University
2,1,Quite clear,2,yes,1,Somewhat agree,Male,University
1,2,Clear,1,yes,3,Strongly agree,Male,University
1,1,Quite clear,1,yes,1,Strongly agree,Female,University
1,1,Quite clear,1,yes,1,Strongly agree,Male,University
1,1,Quite clear,1,yes,1,Strongly agree,Male,University
